[2026-09-26T14:34:57.956Z] syncing 1 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:58:07.460Z] ✓ Statements™ Casablanca Tile (45.2cm x 45.2cm) — 1/1 variants, 9 images, 1 variant images
[2026-09-26T14:58:07.462Z] progress 225/843 (ok 225, warnings 0, failed 0)
[2026-09-26T14:58:15.799Z] ✓ Statements™ Marrakesh Tile (45.2cm x 45.2cm) — 1/1 variants, 3 images, 1 variant images
[2026-09-26T14:58:16.278Z] ✓ Durabase Warpseal Self-Adhesive Sealing Mat — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:58:18.760Z] ✓ Ribbon™ — 5/5 variants, 31 images, 5 variant images
[2026-09-26T14:58:23.473Z] ✓ Adjustable Metal Pedestal 95-115mm — 1/1 variants, 4 images, 1 variant images
[2026-09-26T14:58:34.416Z] ✓ UltraTile ProGrout Flowable Grout — 4/4 variants, 8 images, 4 variant images
[2026-09-26T14:58:35.147Z] ✓ UltraTile ProPave Brush-In Grout — 4/4 variants, 19 images, 4 variant images
[2026-09-26T14:58:41.215Z] ✓ Everscape™ Kemble™ — 4/4 variants, 19 images, 4 variant images
[2026-09-26T14:58:49.286Z] ✓ Outdoor Perimeter Corner Trim — 4/4 variants, 8 images, 4 variant images
[2026-09-26T14:58:50.007Z] ✓ Outdoor Perimeter Trim — 4/4 variants, 10 images, 4 variant images
[2026-09-26T14:58:56.572Z] ✓ Dural U-Drain Pro 65mm Wide Drainage Channel — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:59:04.373Z] ✓ Dural U-Drain Pro 65mm Wide Drainage Channel Silver — 2/2 variants, 2 images, 2 variant images
